Temp: 0.0°C, Hum: 0.0%, Suelo: 4.0%, Luz: 0, MQ5: 0
Temp: 24.5°C, Hum: 60.0%, Suelo: 0.0%, Luz: 3695, MQ5: 751
Temp: 24.4°C, Hum: 59.0%, Suelo: 0.0%, Luz: 3696, MQ5: 771
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 24.2°C, Hum: 60.0%, Suelo: 0.0%, Luz: 3701, MQ5: 764
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 24.4°C, Hum: 60.0%, Suelo: 0.0%, Luz: 3669, MQ5: 734
Temp: 24.9°C, Hum: 60.0%, Suelo: 0.0%, Luz: 3716, MQ5: 725
Temp: 0.0°C, Hum: 0.0%, Suelo: 5.0%, Luz: 0, MQ5: 0
Temp: 24.4°C, Hum: 59.0%, Suelo: 0.0%, Luz: 3705, MQ5: 739
Temp: 0.0°C, Hum: 0.0%, Suelo: 3.0%, Luz: 0, MQ5: 0
Temp: 24.4°C, Hum: 59.0%, Suelo: 0.0%, Luz: 3696, MQ5: 733
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 24.5°C, Hum: 59.0%, Suelo: 0.0%, Luz: 3695, MQ5: 729
Temp: 24.2°C, Hum: 59.0%, Suelo: 0.0%, Luz: 3685, MQ5: 717
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 24.0°C, Hum: 59.0%, Suelo: 0.0%, Luz: 3682, MQ5: 726
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 24.8°C, Hum: 59.0%, Suelo: 0.0%, Luz: 3718, MQ5: 774
Temp: 24.5°C, Hum: 59.0%, Suelo: 0.0%, Luz: 3670, MQ5: 704
Temp: 0.0°C, Hum: 0.0%, Suelo: 4.0%, Luz: 0, MQ5: 0
Temp: 24.4°C, Hum: 59.0%, Suelo: 0.0%, Luz: 3654, MQ5: 699
Temp: 0.0°C, Hum: 0.0%, Suelo: 6.0%, Luz: 0, MQ5: 0
Temp: 24.2°C, Hum: 59.0%, Suelo: 0.0%, Luz: 3655, MQ5: 725
Temp: 0.0°C, Hum: 0.0%, Suelo: 3.0%, Luz: 0, MQ5: 0
