Temp: 25.1°C, Hum: 67.1%, Suelo: 0.0%, Luz: 759, MQ5: 817
Temp: 0.0°C, Hum: 0.0%, Suelo: 30.4%, Luz: 0, MQ5: 0
Temp: 25.0°C, Hum: 67.6%, Suelo: 0.0%, Luz: 764, MQ5: 824
Temp: 0.0°C, Hum: 0.0%, Suelo: 30.1%, Luz: 0, MQ5: 0
Temp: 24.8°C, Hum: 67.4%, Suelo: 0.0%, Luz: 759, MQ5: 816
Temp: 0.0°C, Hum: 0.0%, Suelo: 29.8%, Luz: 0, MQ5: 0
Temp: 24.7°C, Hum: 67.4%, Suelo: 0.0%, Luz: 754, MQ5: 823
Temp: 0.0°C, Hum: 0.0%, Suelo: 29.4%, Luz: 0, MQ5: 0
Temp: 24.6°C, Hum: 67.7%, Suelo: 0.0%, Luz: 757, MQ5: 826
Temp: 0.0°C, Hum: 0.0%, Suelo: 29.7%, Luz: 0, MQ5: 0
Temp: 24.5°C, Hum: 67.9%, Suelo: 0.0%, Luz: 752, MQ5: 821
Temp: 0.0°C, Hum: 0.0%, Suelo: 30.1%, Luz: 0, MQ5: 0
Temp: 24.6°C, Hum: 67.6%, Suelo: 0.0%, Luz: 749, MQ5: 817
Temp: 0.0°C, Hum: 0.0%, Suelo: 30.0%, Luz: 0, MQ5: 0
Temp: 24.8°C, Hum: 67.3%, Suelo: 0.0%, Luz: 745, MQ5: 819
Temp: 0.0°C, Hum: 0.0%, Suelo: 30.1%, Luz: 0, MQ5: 0
Temp: 24.6°C, Hum: 68.0%, Suelo: 0.0%, Luz: 749, MQ5: 817
Temp: 0.0°C, Hum: 0.0%, Suelo: 29.8%, Luz: 0, MQ5: 0
Temp: 24.7°C, Hum: 68.5%, Suelo: 0.0%, Luz: 752, MQ5: 810
Temp: 0.0°C, Hum: 0.0%, Suelo: 30.2%, Luz: 0, MQ5: 0
Temp: 24.9°C, Hum: 68.3%, Suelo: 0.0%, Luz: 755, MQ5: 809
Temp: 0.0°C, Hum: 0.0%, Suelo: 30.6%, Luz: 0, MQ5: 0
Temp: 25.0°C, Hum: 68.5%, Suelo: 0.0%, Luz: 755, MQ5: 817
Temp: 0.0°C, Hum: 0.0%, Suelo: 31.1%, Luz: 0, MQ5: 0
Temp: 24.9°C, Hum: 67.6%, Suelo: 0.0%, Luz: 760, MQ5: 814
Temp: 0.0°C, Hum: 0.0%, Suelo: 31.4%, Luz: 0, MQ5: 0
Temp: 25.0°C, Hum: 68.6%, Suelo: 0.0%, Luz: 758, MQ5: 807
Temp: 0.0°C, Hum: 0.0%, Suelo: 31.8%, Luz: 0, MQ5: 0
Temp: 25.0°C, Hum: 68.5%, Suelo: 0.0%, Luz: 758, MQ5: 802
Temp: 0.0°C, Hum: 0.0%, Suelo: 31.3%, Luz: 0, MQ5: 0
Temp: 24.9°C, Hum: 67.9%, Suelo: 0.0%, Luz: 757, MQ5: 812
Temp: 0.0°C, Hum: 0.0%, Suelo: 31.5%, Luz: 0, MQ5: 0
Temp: 24.7°C, Hum: 68.2%, Suelo: 0.0%, Luz: 760, MQ5: 809
Temp: 0.0°C, Hum: 0.0%, Suelo: 31.3%, Luz: 0, MQ5: 0
Temp: 24.6°C, Hum: 68.0%, Suelo: 0.0%, Luz: 765, MQ5: 816
Temp: 0.0°C, Hum: 0.0%, Suelo: 31.7%, Luz: 0, MQ5: 0
Temp: 24.5°C, Hum: 67.6%, Suelo: 0.0%, Luz: 760, MQ5: 813
Temp: 0.0°C, Hum: 0.0%, Suelo: 32.0%, Luz: 0, MQ5: 0
Temp: 24.6°C, Hum: 68.2%, Suelo: 0.0%, Luz: 761, MQ5: 811
Temp: 0.0°C, Hum: 0.0%, Suelo: 32.4%, Luz: 0, MQ5: 0
Temp: 24.4°C, Hum: 69.0%, Suelo: 0.0%, Luz: 765, MQ5: 811
Temp: 0.0°C, Hum: 0.0%, Suelo: 32.7%, Luz: 0, MQ5: 0
Temp: 24.3°C, Hum: 69.0%, Suelo: 0.0%, Luz: 770, MQ5: 815
Temp: 0.0°C, Hum: 0.0%, Suelo: 32.5%, Luz: 0, MQ5: 0
Temp: 24.2°C, Hum: 68.3%, Suelo: 0.0%, Luz: 773, MQ5: 822
Temp: 0.0°C, Hum: 0.0%, Suelo: 32.8%, Luz: 0, MQ5: 0
Temp: 24.2°C, Hum: 68.5%, Suelo: 0.0%, Luz: 777, MQ5: 824
Temp: 0.0°C, Hum: 0.0%, Suelo: 32.4%, Luz: 0, MQ5: 0
Temp: 24.2°C, Hum: 69.5%, Suelo: 0.0%, Luz: 774, MQ5: 830
Temp: 0.0°C, Hum: 0.0%, Suelo: 32.8%, Luz: 0, MQ5: 0
Temp: 24.2°C, Hum: 70.0%, Suelo: 0.0%, Luz: 770, MQ5: 824
Temp: 0.0°C, Hum: 0.0%, Suelo: 33.2%, Luz: 0, MQ5: 0
Temp: 24.3°C, Hum: 70.6%, Suelo: 0.0%, Luz: 771, MQ5: 833
Temp: 0.0°C, Hum: 0.0%, Suelo: 32.9%, Luz: 0, MQ5: 0
Temp: 24.2°C, Hum: 70.4%, Suelo: 0.0%, Luz: 773, MQ5: 839
Temp: 0.0°C, Hum: 0.0%, Suelo: 33.2%, Luz: 0, MQ5: 0
Temp: 24.2°C, Hum: 70.5%, Suelo: 0.0%, Luz: 768, MQ5: 832
Temp: 0.0°C, Hum: 0.0%, Suelo: 33.2%, Luz: 0, MQ5: 0
Temp: 24.3°C, Hum: 70.6%, Suelo: 0.0%, Luz: 767, MQ5: 842
Temp: 0.0°C, Hum: 0.0%, Suelo: 33.0%, Luz: 0, MQ5: 0
Temp: 24.2°C, Hum: 70.2%, Suelo: 0.0%, Luz: 764, MQ5: 846
Temp: 0.0°C, Hum: 0.0%, Suelo: 33.3%, Luz: 0, MQ5: 0
Temp: 24.2°C, Hum: 70.6%, Suelo: 0.0%, Luz: 763, MQ5: 852
Temp: 0.0°C, Hum: 0.0%, Suelo: 33.0%, Luz: 0, MQ5: 0
Temp: 24.3°C, Hum: 70.6%, Suelo: 0.0%, Luz: 759, MQ5: 862
Temp: 0.0°C, Hum: 0.0%, Suelo: 32.5%, Luz: 0, MQ5: 0
Temp: 24.2°C, Hum: 70.9%, Suelo: 0.0%, Luz: 763, MQ5: 858
Temp: 0.0°C, Hum: 0.0%, Suelo: 32.2%, Luz: 0, MQ5: 0
Temp: 24.2°C, Hum: 71.4%, Suelo: 0.0%, Luz: 766, MQ5: 864
Temp: 0.0°C, Hum: 0.0%, Suelo: 32.0%, Luz: 0, MQ5: 0
