Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 23.6°C, Hum: 62.0%, Suelo: 0.0%, Luz: 3568, MQ5: 743
Temp: 0.0°C, Hum: 0.0%, Suelo: 3.0%, Luz: 0, MQ5: 0
Temp: 23.8°C, Hum: 62.0%, Suelo: 0.0%, Luz: 3603, MQ5: 735
Temp: 0.0°C, Hum: 0.0%, Suelo: 3.0%, Luz: 0, MQ5: 0
Temp: 23.2°C, Hum: 62.0%, Suelo: 0.0%, Luz: 3623, MQ5: 688
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 23.0°C, Hum: 62.0%, Suelo: 0.0%, Luz: 3651, MQ5: 689
Temp: 23.0°C, Hum: 62.0%, Suelo: 0.0%, Luz: 3666, MQ5: 689
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 23.1°C, Hum: 62.0%, Suelo: 0.0%, Luz: 3686, MQ5: 688
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 23.4°C, Hum: 62.0%, Suelo: 0.0%, Luz: 3713, MQ5: 685
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 23.8°C, Hum: 62.0%, Suelo: 0.0%, Luz: 3738, MQ5: 711
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 0.0°C, Hum: 0.0%, Suelo: 3.0%, Luz: 0, MQ5: 0
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 23.4°C, Hum: 63.0%, Suelo: 0.0%, Luz: 3814, MQ5: 688
Temp: 0.0°C, Hum: 0.0%, Suelo: 4.0%, Luz: 0, MQ5: 0
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 23.3°C, Hum: 62.0%, Suelo: 0.0%, Luz: 3811, MQ5: 669
Temp: 0.0°C, Hum: 0.0%, Suelo: 3.0%, Luz: 0, MQ5: 0
Temp: 23.9°C, Hum: 62.0%, Suelo: 0.0%, Luz: 3810, MQ5: 677
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 23.8°C, Hum: 62.0%, Suelo: 0.0%, Luz: 3822, MQ5: 676
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 23.2°C, Hum: 62.0%, Suelo: 0.0%, Luz: 3829, MQ5: 678
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 23.5°C, Hum: 62.0%, Suelo: 0.0%, Luz: 3812, MQ5: 694
Temp: 0.0°C, Hum: 0.0%, Suelo: 3.0%, Luz: 0, MQ5: 0
