Temp: 25.1°C, Hum: 70.1%, Suelo: 0.0%, Luz: 913, MQ5: 834
Temp: 25.1°C, Hum: 70.2%, Suelo: 0.0%, Luz: 927, MQ5: 842
Temp: 25.1°C, Hum: 70.2%, Suelo: 0.0%, Luz: 901, MQ5: 827
Temp: 25.1°C, Hum: 69.6%, Suelo: 0.0%, Luz: 899, MQ5: 805
Temp: 25.1°C, Hum: 69.9%, Suelo: 0.0%, Luz: 962, MQ5: 788
Temp: 25.1°C, Hum: 69.9%, Suelo: 0.0%, Luz: 955, MQ5: 784
Temp: 25.1°C, Hum: 69.0%, Suelo: 0.0%, Luz: 910, MQ5: 819
Temp: 25.2°C, Hum: 69.7%, Suelo: 0.0%, Luz: 906, MQ5: 833
Temp: 25.2°C, Hum: 69.8%, Suelo: 0.0%, Luz: 943, MQ5: 816
Temp: 25.2°C, Hum: 69.7%, Suelo: 0.0%, Luz: 918, MQ5: 813
Temp: 25.1°C, Hum: 69.7%, Suelo: 0.0%, Luz: 929, MQ5: 812
Temp: 25.2°C, Hum: 70.2%, Suelo: 0.0%, Luz: 895, MQ5: 831
Temp: 25.2°C, Hum: 70.8%, Suelo: 0.0%, Luz: 930, MQ5: 755
Temp: 25.1°C, Hum: 70.5%, Suelo: 0.0%, Luz: 947, MQ5: 806
Temp: 25.2°C, Hum: 70.2%, Suelo: 0.0%, Luz: 917, MQ5: 818
Temp: 25.1°C, Hum: 70.5%, Suelo: 0.0%, Luz: 911, MQ5: 785
Temp: 25.2°C, Hum: 70.5%, Suelo: 0.0%, Luz: 889, MQ5: 813
Temp: 25.1°C, Hum: 70.2%, Suelo: 0.0%, Luz: 911, MQ5: 822
Temp: 25.1°C, Hum: 70.1%, Suelo: 0.0%, Luz: 945, MQ5: 794
Temp: 25.1°C, Hum: 70.6%, Suelo: 0.0%, Luz: 946, MQ5: 845
Temp: 25.1°C, Hum: 70.5%, Suelo: 0.0%, Luz: 940, MQ5: 848
Temp: 25.1°C, Hum: 70.8%, Suelo: 0.0%, Luz: 919, MQ5: 743
Temp: 25.1°C, Hum: 70.7%, Suelo: 0.0%, Luz: 916, MQ5: 846
Temp: 25.1°C, Hum: 70.8%, Suelo: 0.0%, Luz: 911, MQ5: 838
Temp: 25.2°C, Hum: 71.0%, Suelo: 0.0%, Luz: 903, MQ5: 865
Temp: 25.1°C, Hum: 70.6%, Suelo: 0.0%, Luz: 918, MQ5: 847
Temp: 25.1°C, Hum: 71.3%, Suelo: 0.0%, Luz: 912, MQ5: 846
Temp: 25.2°C, Hum: 71.1%, Suelo: 0.0%, Luz: 947, MQ5: 848
Temp: 25.1°C, Hum: 70.2%, Suelo: 0.0%, Luz: 947, MQ5: 807
Temp: 0.0°C, Hum: 0.0%, Suelo: 20.0%, Luz: 0, MQ5: 0
Temp: 25.1°C, Hum: 69.5%, Suelo: 0.0%, Luz: 1090, MQ5: 796
Temp: 0.0°C, Hum: 0.0%, Suelo: 20.0%, Luz: 0, MQ5: 0
Temp: 0.0°C, Hum: 0.0%, Suelo: 24.0%, Luz: 0, MQ5: 0
Temp: 0.0°C, Hum: 0.0%, Suelo: 48.0%, Luz: 0, MQ5: 0
Temp: 0.0°C, Hum: 0.0%, Suelo: 35.0%, Luz: 0, MQ5: 0
Temp: 0.0°C, Hum: 0.0%, Suelo: 2.0%, Luz: 0, MQ5: 0
Temp: 0.0°C, Hum: 0.0%, Suelo: 0.0%, Luz: 0, MQ5: 0
Temp: 0.0°C, Hum: 0.0%, Suelo: 10.0%, Luz: 0, MQ5: 0
